notice_id,user_id,title,description,image_url,status,publish_date,expiry_date,created_at,updated_at
1,348,Campus Notice Title 1,This is the description for campus notice number 1. Please read carefully.,https://example.com/notices/image_1.jpg,draft,03-02-2026 09:00,05-03-2026 09:00,13-02-2026 15:00,13-02-2026 18:00
2,626,Campus Notice Title 2,This is the description for campus notice number 2. Please read carefully.,https://example.com/notices/image_2.jpg,rejected,04-02-2026 14:00,27-02-2026 14:00,29-03-2026 10:00,29-03-2026 11:00
3,934,Campus Notice Title 3,This is the description for campus notice number 3. Please read carefully.,https://example.com/notices/image_3.jpg,pending,31-01-2026 09:00,23-02-2026 09:00,25-01-2026 10:00,25-01-2026 16:00
4,899,Campus Notice Title 4,This is the description for campus notice number 4. Please read carefully.,https://example.com/notices/image_4.jpg,published,05-03-2026 16:00,31-03-2026 16:00,03-01-2026 16:00,03-01-2026 22:00
5,506,Campus Notice Title 5,This is the description for campus notice number 5. Please read carefully.,https://example.com/notices/image_5.jpg,draft,10-02-2026 14:00,20-02-2026 14:00,04-01-2026 16:00,04-01-2026 19:00
6,330,Campus Notice Title 6,This is the description for campus notice number 6. Please read carefully.,https://example.com/notices/image_6.jpg,draft,28-03-2026 11:00,14-04-2026 11:00,24-03-2026 15:00,24-03-2026 21:00
7,779,Campus Notice Title 7,This is the description for campus notice number 7. Please read carefully.,https://example.com/notices/image_7.jpg,draft,23-02-2026 10:00,16-03-2026 10:00,09-02-2026 10:00,09-02-2026 15:00
8,715,Campus Notice Title 8,This is the description for campus notice number 8. Please read carefully.,https://example.com/notices/image_8.jpg,rejected,11-01-2026 13:00,22-01-2026 13:00,05-01-2026 17:00,06-01-2026 02:00
9,388,Campus Notice Title 9,This is the description for campus notice number 9. Please read carefully.,https://example.com/notices/image_9.jpg,rejected,19-02-2026 11:00,13-03-2026 11:00,26-03-2026 15:00,26-03-2026 19:00
10,2,Campus Notice Title 10,This is the description for campus notice number 10. Please read carefully.,https://example.com/notices/image_10.jpg,pending,16-02-2026 17:00,12-03-2026 17:00,25-02-2026 15:00,26-02-2026 01:00
11,485,Campus Notice Title 11,This is the description for campus notice number 11. Please read carefully.,https://example.com/notices/image_11.jpg,draft,25-02-2026 14:00,23-03-2026 14:00,22-02-2026 09:00,22-02-2026 10:00
12,706,Campus Notice Title 12,This is the description for campus notice number 12. Please read carefully.,https://example.com/notices/image_12.jpg,rejected,27-01-2026 16:00,06-02-2026 16:00,23-03-2026 15:00,23-03-2026 18:00
13,526,Campus Notice Title 13,This is the description for campus notice number 13. Please read carefully.,https://example.com/notices/image_13.jpg,draft,10-01-2026 16:00,26-01-2026 16:00,23-03-2026 13:00,23-03-2026 23:00
14,231,Campus Notice Title 14,This is the description for campus notice number 14. Please read carefully.,https://example.com/notices/image_14.jpg,rejected,12-01-2026 17:00,03-02-2026 17:00,09-01-2026 10:00,09-01-2026 10:00
15,912,Campus Notice Title 15,This is the description for campus notice number 15. Please read carefully.,https://example.com/notices/image_15.jpg,draft,30-01-2026 11:00,17-02-2026 11:00,12-03-2026 16:00,12-03-2026 21:00
16,62,Campus Notice Title 16,This is the description for campus notice number 16. Please read carefully.,https://example.com/notices/image_16.jpg,published,01-01-2026 14:00,28-01-2026 14:00,15-02-2026 11:00,15-02-2026 15:00
17,692,Campus Notice Title 17,This is the description for campus notice number 17. Please read carefully.,https://example.com/notices/image_17.jpg,pending,17-02-2026 13:00,15-03-2026 13:00,15-02-2026 12:00,15-02-2026 17:00
