event_id,user_id,event_name,event_description,event_type,location,event_image,start_date,end_date,created_at,updated_at
1,348,Event 1,This is description for event 1,Sports,Delhi,event_1.jpg,2023-09-05 01:55:00,2023-09-06 01:55:00,2023-08-31 01:55:00,2023-09-20 01:55:00
2,626,Event 2,This is description for event 2,Technical,Mumbai,event_2.jpg,2023-08-31 11:46:00,2023-08-31 11:46:00,2023-08-30 11:46:00,2023-09-06 11:46:00
3,934,Event 3,This is description for event 3,Seminar,Bangalore,event_3.jpg,2024-07-20 10:45:00,2024-07-23 10:45:00,2024-07-15 10:45:00,2024-07-19 10:45:00
4,899,Event 4,This is description for event 4,Seminar,Bangalore,event_4.jpg,2023-08-07 17:01:00,2023-08-09 17:01:00,2023-08-01 17:01:00,2023-08-31 17:01:00
5,506,Event 5,This is description for event 5,Workshop,Delhi,event_5.jpg,2024-08-11 02:09:00,2024-08-14 02:09:00,2024-08-07 02:09:00,2024-08-19 02:09:00
6,330,Event 6,This is description for event 6,Cultural,Hyderabad,event_6.jpg,2025-12-23 16:35:00,2025-12-24 16:35:00,2025-12-22 16:35:00,2026-01-05 16:35:00
7,779,Event 7,This is description for event 7,Sports,Pune,event_7.jpg,2025-07-06 08:58:00,2025-07-09 08:58:00,2025-06-27 08:58:00,2025-07-27 08:58:00
8,715,Event 8,This is description for event 8,Seminar,Pune,event_8.jpg,2024-08-02 14:13:00,2024-08-04 14:13:00,2024-08-01 14:13:00,2024-08-17 14:13:00
9,388,Event 9,This is description for event 9,Technical,Pune,event_9.jpg,2023-01-29 19:07:00,2023-02-01 19:07:00,2023-01-24 19:07:00,2023-02-04 19:07:00
10,2,Event 10,This is description for event 10,Cultural,Hyderabad,event_10.jpg,2025-08-07 15:57:00,2025-08-07 15:57:00,2025-07-28 15:57:00,2025-08-23 15:57:00
11,485,Event 11,This is description for event 11,Technical,Bangalore,event_11.jpg,2024-03-26 13:03:00,2024-03-28 13:03:00,2024-03-23 13:03:00,2024-04-03 13:03:00
12,706,Event 12,This is description for event 12,Seminar,Pune,event_12.jpg,2023-03-04 22:48:00,2023-03-07 22:48:00,2023-02-24 22:48:00,2023-03-14 22:48:00
13,526,Event 13,This is description for event 13,Workshop,Mumbai,event_13.jpg,2025-02-03 18:39:00,2025-02-04 18:39:00,2025-02-01 18:39:00,2025-02-06 18:39:00
14,231,Event 14,This is description for event 14,Seminar,Hyderabad,event_14.jpg,2025-07-24 16:28:00,2025-07-27 16:28:00,2025-07-22 16:28:00,2025-08-18 16:28:00
15,912,Event 15,This is description for event 15,Seminar,Mumbai,event_15.jpg,2024-09-20 06:58:00,2024-09-23 06:58:00,2024-09-19 06:58:00,2024-09-23 06:58:00
16,62,Event 16,This is description for event 16,Cultural,Bangalore,event_16.jpg,2025-01-28 14:52:00,2025-01-30 14:52:00,2025-01-27 14:52:00,2025-02-11 14:52:00
17,692,Event 17,This is description for event 17,Technical,Bangalore,event_17.jpg,2024-08-09 09:46:00,2024-08-12 09:46:00,2024-08-01 09:46:00,2024-08-02 09:46:00
18,435,Event 18,This is description for event 18,Seminar,Hyderabad,event_18.jpg,2024-07-31 02:31:00,2024-08-03 02:31:00,2024-07-25 02:31:00,2024-08-24 02:31:00
19,642,Event 19,This is description for event 19,Sports,Hyderabad,event_19.jpg,2024-11-08 06:28:00,2024-11-08 06:28:00,2024-11-05 06:28:00,2024-11-10 06:28:00
20,40,Event 20,This is description for event 20,Seminar,Delhi,event_20.jpg,2023-10-08 05:36:00,2023-10-10 05:36:00,2023-09-29 05:36:00,2023-10-01 05:36:00
21,537,Event 21,This is description for event 21,Sports,Mumbai,event_21.jpg,2023-09-02 21:26:00,2023-09-05 21:26:00,2023-08-24 21:26:00,2023-08-27 21:26:00
22,635,Event 22,This is description for event 22,Technical,Mumbai,event_22.jpg,2023-10-28 13:30:00,2023-10-30 13:30:00,2023-10-20 13:30:00,2023-11-14 13:30:00
23,882,Event 23,This is description for event 23,Sports,Hyderabad,event_23.jpg,2025-05-20 14:45:00,2025-05-20 14:45:00,2025-05-14 14:45:00,2025-05-20 14:45:00
24,128,Event 24,This is description for event 24,Cultural,Mumbai,event_24.jpg,2025-04-11 06:33:00,2025-04-14 06:33:00,2025-04-02 06:33:00,2025-04-23 06:33:00
25,441,Event 25,This is description for event 25,Sports,Bangalore,event_25.jpg,2024-04-18 19:50:00,2024-04-21 19:50:00,2024-04-14 19:50:00,2024-04-18 19:50:00
26,561,Event 26,This is description for event 26,Sports,Hyderabad,event_26.jpg,2025-06-24 06:24:00,2025-06-26 06:24:00,2025-06-16 06:24:00,2025-06-22 06:24:00
27,646,Event 27,This is description for event 27,Workshop,Bangalore,event_27.jpg,2025-02-24 21:08:00,2025-02-25 21:08:00,2025-02-15 21:08:00,2025-02-18 21:08:00
28,586,Event 28,This is description for event 28,Cultural,Bangalore,event_28.jpg,2023-04-19 15:32:00,2023-04-19 15:32:00,2023-04-09 15:32:00,2023-04-12 15:32:00
29,390,Event 29,This is description for event 29,Technical,Delhi,event_29.jpg,2023-01-08 02:59:00,2023-01-09 02:59:00,2023-01-01 02:59:00,2023-01-03 02:59:00
30,50,Event 30,This is description for event 30,Workshop,Bangalore,event_30.jpg,2025-02-04 03:26:00,2025-02-06 03:26:00,2025-01-28 03:26:00,2025-02-09 03:26:00
31,410,Event 31,This is description for event 31,Technical,Delhi,event_31.jpg,2025-10-01 00:26:00,2025-10-01 00:26:00,2025-09-22 00:26:00,2025-10-16 00:26:00
32,144,Event 32,This is description for event 32,Seminar,Mumbai,event_32.jpg,2024-05-14 04:18:00,2024-05-15 04:18:00,2024-05-11 04:18:00,2024-06-06 04:18:00
33,93,Event 33,This is description for event 33,Technical,Delhi,event_33.jpg,2023-10-23 19:56:00,2023-10-23 19:56:00,2023-10-14 19:56:00,2023-10-21 19:56:00
34,200,Event 34,This is description for event 34,Seminar,Bangalore,event_34.jpg,2024-03-02 03:16:00,2024-03-03 03:16:00,2024-02-27 03:16:00,2024-03-12 03:16:00
35,581,Event 35,This is description for event 35,Sports,Mumbai,event_35.jpg,2025-06-07 17:31:00,2025-06-08 17:31:00,2025-06-05 17:31:00,2025-06-22 17:31:00
36,543,Event 36,This is description for event 36,Seminar,Mumbai,event_36.jpg,2025-08-29 23:18:00,2025-08-31 23:18:00,2025-08-25 23:18:00,2025-08-26 23:18:00
37,161,Event 37,This is description for event 37,Technical,Bangalore,event_37.jpg,2023-12-21 06:58:00,2023-12-24 06:58:00,2023-12-20 06:58:00,2024-01-19 06:58:00
38,110,Event 38,This is description for event 38,Cultural,Pune,event_38.jpg,2025-12-16 22:33:00,2025-12-19 22:33:00,2025-12-15 22:33:00,2025-12-30 22:33:00
39,541,Event 39,This is description for event 39,Technical,Mumbai,event_39.jpg,2023-03-10 05:51:00,2023-03-12 05:51:00,2023-03-06 05:51:00,2023-03-09 05:51:00
40,933,Event 40,This is description for event 40,Seminar,Bangalore,event_40.jpg,2024-03-06 10:08:00,2024-03-07 10:08:00,2024-03-03 10:08:00,2024-03-16 10:08:00
41,135,Event 41,This is description for event 41,Cultural,Delhi,event_41.jpg,2023-07-17 04:23:00,2023-07-17 04:23:00,2023-07-10 04:23:00,2023-08-02 04:23:00
42,199,Event 42,This is description for event 42,Seminar,Mumbai,event_42.jpg,2023-09-15 19:05:00,2023-09-15 19:05:00,2023-09-11 19:05:00,2023-09-13 19:05:00
43,803,Event 43,This is description for event 43,Cultural,Hyderabad,event_43.jpg,2024-04-12 15:40:00,2024-04-15 15:40:00,2024-04-06 15:40:00,2024-04-28 15:40:00
44,819,Event 44,This is description for event 44,Cultural,Bangalore,event_44.jpg,2023-12-03 08:59:00,2023-12-05 08:59:00,2023-11-28 08:59:00,2023-12-13 08:59:00
45,712,Event 45,This is description for event 45,Cultural,Hyderabad,event_45.jpg,2023-04-21 10:51:00,2023-04-24 10:51:00,2023-04-12 10:51:00,2023-04-24 10:51:00
46,110,Event 46,This is description for event 46,Seminar,Pune,event_46.jpg,2025-06-28 00:16:00,2025-06-29 00:16:00,2025-06-19 00:16:00,2025-06-21 00:16:00
47,604,Event 47,This is description for event 47,Technical,Pune,event_47.jpg,2024-06-17 13:36:00,2024-06-20 13:36:00,2024-06-13 13:36:00,2024-07-10 13:36:00
48,420,Event 48,This is description for event 48,Sports,Hyderabad,event_48.jpg,2023-03-19 14:54:00,2023-03-21 14:54:00,2023-03-16 14:54:00,2023-04-09 14:54:00
49,687,Event 49,This is description for event 49,Cultural,Hyderabad,event_49.jpg,2023-10-11 18:25:00,2023-10-11 18:25:00,2023-10-02 18:25:00,2023-10-04 18:25:00
50,70,Event 50,This is description for event 50,Workshop,Hyderabad,event_50.jpg,2024-08-27 10:23:00,2024-08-27 10:23:00,2024-08-23 10:23:00,2024-09-08 10:23:00
51,895,Event 51,This is description for event 51,Cultural,Pune,event_51.jpg,2023-01-07 08:51:00,2023-01-10 08:51:00,2023-01-04 08:51:00,2023-01-05 08:51:00
52,755,Event 52,This is description for event 52,Technical,Delhi,event_52.jpg,2023-05-07 02:12:00,2023-05-09 02:12:00,2023-05-05 02:12:00,2023-05-15 02:12:00
53,129,Event 53,This is description for event 53,Seminar,Bangalore,event_53.jpg,2024-07-21 01:38:00,2024-07-23 01:38:00,2024-07-16 01:38:00,2024-07-17 01:38:00
54,236,Event 54,This is description for event 54,Seminar,Delhi,event_54.jpg,2025-10-01 15:38:00,2025-10-02 15:38:00,2025-09-24 15:38:00,2025-10-20 15:38:00
55,62,Event 55,This is description for event 55,Sports,Bangalore,event_55.jpg,2023-01-13 10:24:00,2023-01-14 10:24:00,2023-01-06 10:24:00,2023-01-21 10:24:00
56,638,Event 56,This is description for event 56,Workshop,Delhi,event_56.jpg,2023-08-23 08:37:00,2023-08-26 08:37:00,2023-08-13 08:37:00,2023-09-04 08:37:00
57,344,Event 57,This is description for event 57,Technical,Pune,event_57.jpg,2024-12-01 01:52:00,2024-12-03 01:52:00,2024-11-28 01:52:00,2024-11-30 01:52:00
58,417,Event 58,This is description for event 58,Technical,Pune,event_58.jpg,2023-09-05 00:08:00,2023-09-08 00:08:00,2023-08-28 00:08:00,2023-09-20 00:08:00
59,90,Event 59,This is description for event 59,Seminar,Delhi,event_59.jpg,2025-03-05 11:45:00,2025-03-07 11:45:00,2025-02-25 11:45:00,2025-03-15 11:45:00
60,740,Event 60,This is description for event 60,Technical,Mumbai,event_60.jpg,2024-07-22 23:03:00,2024-07-23 23:03:00,2024-07-18 23:03:00,2024-08-13 23:03:00
61,242,Event 61,This is description for event 61,Workshop,Pune,event_61.jpg,2025-10-28 08:47:00,2025-10-30 08:47:00,2025-10-19 08:47:00,2025-10-28 08:47:00
62,231,Event 62,This is description for event 62,Sports,Mumbai,event_62.jpg,2024-01-27 16:28:00,2024-01-27 16:28:00,2024-01-24 16:28:00,2024-02-06 16:28:00
63,583,Event 63,This is description for event 63,Workshop,Bangalore,event_63.jpg,2025-05-15 14:54:00,2025-05-15 14:54:00,2025-05-05 14:54:00,2025-05-09 14:54:00
64,565,Event 64,This is description for event 64,Technical,Mumbai,event_64.jpg,2023-05-21 08:46:00,2023-05-23 08:46:00,2023-05-12 08:46:00,2023-05-26 08:46:00
65,104,Event 65,This is description for event 65,Technical,Hyderabad,event_65.jpg,2023-03-14 02:30:00,2023-03-14 02:30:00,2023-03-11 02:30:00,2023-03-22 02:30:00
66,951,Event 66,This is description for event 66,Technical,Mumbai,event_66.jpg,2024-05-12 16:59:00,2024-05-14 16:59:00,2024-05-02 16:59:00,2024-05-04 16:59:00
67,553,Event 67,This is description for event 67,Workshop,Hyderabad,event_67.jpg,2025-06-08 06:22:00,2025-06-09 06:22:00,2025-06-04 06:22:00,2025-06-10 06:22:00
68,714,Event 68,This is description for event 68,Sports,Hyderabad,event_68.jpg,2023-06-15 19:58:00,2023-06-17 19:58:00,2023-06-09 19:58:00,2023-06-13 19:58:00
69,936,Event 69,This is description for event 69,Sports,Delhi,event_69.jpg,2025-11-24 03:48:00,2025-11-27 03:48:00,2025-11-19 03:48:00,2025-11-24 03:48:00
70,416,Event 70,This is description for event 70,Workshop,Bangalore,event_70.jpg,2024-07-03 10:54:00,2024-07-06 10:54:00,2024-06-23 10:54:00,2024-07-05 10:54:00
71,583,Event 71,This is description for event 71,Cultural,Mumbai,event_71.jpg,2025-09-05 16:04:00,2025-09-07 16:04:00,2025-09-01 16:04:00,2025-09-03 16:04:00
72,59,Event 72,This is description for event 72,Workshop,Mumbai,event_72.jpg,2023-10-25 22:15:00,2023-10-26 22:15:00,2023-10-15 22:15:00,2023-11-07 22:15:00
73,238,Event 73,This is description for event 73,Cultural,Pune,event_73.jpg,2023-12-06 21:17:00,2023-12-08 21:17:00,2023-12-04 21:17:00,2023-12-15 21:17:00
74,849,Event 74,This is description for event 74,Sports,Bangalore,event_74.jpg,2024-06-28 17:12:00,2024-06-29 17:12:00,2024-06-20 17:12:00,2024-06-27 17:12:00
75,823,Event 75,This is description for event 75,Seminar,Delhi,event_75.jpg,2024-04-04 05:48:00,2024-04-05 05:48:00,2024-03-26 05:48:00,2024-04-04 05:48:00
76,149,Event 76,This is description for event 76,Seminar,Bangalore,event_76.jpg,2024-09-25 04:33:00,2024-09-25 04:33:00,2024-09-15 04:33:00,2024-09-29 04:33:00
77,775,Event 77,This is description for event 77,Seminar,Mumbai,event_77.jpg,2024-04-12 05:03:00,2024-04-15 05:03:00,2024-04-05 05:03:00,2024-04-11 05:03:00
78,193,Event 78,This is description for event 78,Technical,Mumbai,event_78.jpg,2023-03-14 15:41:00,2023-03-14 15:41:00,2023-03-05 15:41:00,2023-03-15 15:41:00
79,860,Event 79,This is description for event 79,Workshop,Pune,event_79.jpg,2024-10-02 01:22:00,2024-10-05 01:22:00,2024-09-27 01:22:00,2024-09-30 01:22:00
80,644,Event 80,This is description for event 80,Technical,Hyderabad,event_80.jpg,2025-06-10 08:28:00,2025-06-11 08:28:00,2025-06-01 08:28:00,2025-06-06 08:28:00
81,932,Event 81,This is description for event 81,Workshop,Hyderabad,event_81.jpg,2024-03-28 04:25:00,2024-03-29 04:25:00,2024-03-25 04:25:00,2024-04-04 04:25:00
82,446,Event 82,This is description for event 82,Sports,Bangalore,event_82.jpg,2024-12-17 06:19:00,2024-12-18 06:19:00,2024-12-07 06:19:00,2024-12-13 06:19:00
83,201,Event 83,This is description for event 83,Workshop,Bangalore,event_83.jpg,2023-06-17 04:12:00,2023-06-19 04:12:00,2023-06-14 04:12:00,2023-06-24 04:12:00
84,554,Event 84,This is description for event 84,Sports,Delhi,event_84.jpg,2025-11-18 04:54:00,2025-11-18 04:54:00,2025-11-09 04:54:00,2025-12-02 04:54:00
85,671,Event 85,This is description for event 85,Workshop,Mumbai,event_85.jpg,2025-03-24 05:59:00,2025-03-26 05:59:00,2025-03-22 05:59:00,2025-04-19 05:59:00
86,99,Event 86,This is description for event 86,Technical,Bangalore,event_86.jpg,2024-06-07 10:21:00,2024-06-09 10:21:00,2024-06-05 10:21:00,2024-06-10 10:21:00
87,332,Event 87,This is description for event 87,Cultural,Pune,event_87.jpg,2023-07-01 10:32:00,2023-07-04 10:32:00,2023-06-29 10:32:00,2023-07-07 10:32:00
88,504,Event 88,This is description for event 88,Sports,Delhi,event_88.jpg,2025-08-28 21:15:00,2025-08-30 21:15:00,2025-08-19 21:15:00,2025-09-12 21:15:00
89,835,Event 89,This is description for event 89,Cultural,Mumbai,event_89.jpg,2024-05-03 23:42:00,2024-05-05 23:42:00,2024-04-26 23:42:00,2024-05-24 23:42:00
90,206,Event 90,This is description for event 90,Workshop,Mumbai,event_90.jpg,2023-11-25 05:48:00,2023-11-27 05:48:00,2023-11-18 05:48:00,2023-12-15 05:48:00
